# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04206e-05 to 53.4232 h/Mpc,
# number of wavenumbers equal to 243
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       4.987520970836e-02      -2.123051438558e-01      -5.438529575568e+01      -8.413612253681e+01      -2.119526324783e-01      -7.720275660004e+01       1.652510579217e-01       1.652510579217e-01 
       5.272987737836e-02      -2.027961064274e-01      -5.962435815345e+01      -8.930817650123e+01      -2.024582025769e-01      -8.223727188619e+01       1.574811496552e-01       1.574811496552e-01 
       5.553868475293e-02      -1.946407516045e-01      -6.541515869651e+01      -9.448618684237e+01      -1.943152198140e-01      -8.736090052316e+01       1.507971123903e-01       1.507971123903e-01 
       5.831086442029e-02      -1.874478420637e-01      -7.155967651519e+01      -9.966677862270e+01      -1.871332161559e-01      -9.254064893222e+01       1.449090386318e-01       1.449090386318e-01 
       6.105929316364e-02      -1.808831458093e-01      -7.782887180457e+01      -1.048380734292e+02      -1.805785908296e-01      -9.773182835175e+01       1.395693683099e-01       1.395693683099e-01 
       6.379744397549e-02      -1.746782254852e-01      -8.397725762836e+01      -1.099775786310e+02      -1.743833989793e-01      -1.028785502440e+02       1.345775050084e-01       1.345775050084e-01 
       6.653804686935e-02      -1.686279526996e-01      -8.975432623002e+01      -1.150540630276e+02      -1.683428766760e-01      -1.079170058472e+02       1.297780505210e-01       1.297780505210e-01 
       6.929265030762e-02      -1.625849722540e-01      -9.491912884682e+01      -1.200301243390e+02      -1.623099172619e-01      -1.127797934135e+02       1.250564956740e-01       1.250564956740e-01 
       7.207159148654e-02      -1.564548202882e-01      -9.925816559359e+01      -1.248656925960e+02      -1.561901992925e-01      -1.174015169779e+02       1.203353220011e-01       1.203353220011e-01 
       7.488412586347e-02      -1.501920375871e-01      -1.026042899289e+02      -1.295231926325e+02      -1.499383084969e-01      -1.217258985921e+02       1.155712544411e-01       1.155712544411e-01 
       7.773860156258e-02      -1.437960273327e-01      -1.048581633415e+02      -1.339726575809e+02      -1.435536035791e-01      -1.257132396006e+02       1.107523545446e-01       1.107523545446e-01 
       8.064263089399e-02      -1.373065234676e-01      -1.060087840084e+02      -1.381974515788e+02      -1.370756942840e-01      -1.293482394564e+02       1.058950831069e-01       1.058950831069e-01 
       8.360324180074e-02      -1.307976347965e-01      -1.061513916594e+02      -1.421994795156e+02      -1.305784982785e-01      -1.326469940501e+02       1.010404384565e-01       1.010404384565e-01 
       8.662700527972e-02      -1.243697044644e-01      -1.054963028448e+02      -1.460035301606e+02      -1.241621190974e-01      -1.356619002672e+02       9.624868580630e-02       9.624868580630e-02 
       8.972014008248e-02      -1.181396024742e-01      -1.043714883902e+02      -1.496602650717e+02      -1.179431581962e-01      -1.384844966018e+02       9.159341678841e-02       9.159341678841e-02 
       9.288859773804e-02      -1.122295559548e-01      -1.032067814517e+02      -1.532462271065e+02      -1.120435732891e-01      -1.412430598870e+02       8.715347725009e-02       8.715347725009e-02 
       9.613813119750e-02      -1.067522421377e-01      -1.025021590714e+02      -1.568597454956e+02      -1.065758001771e-01      -1.440944112955e+02       8.300371545448e-02       8.300371545448e-02 
       9.947435009855e-02      -1.017984661137e-01      -1.027820787252e+02      -1.606138180133e+02      -1.016304580809e-01      -1.472111189367e+02       7.920623177059e-02       7.920623177059e-02 
       1.029027651850e-01      -9.742121625131e-02      -1.045192317607e+02      -1.646219104504e+02      -9.726043796394e-02      -1.507582334062e+02       7.579961437821e-02       7.579961437821e-02 
       1.064288239558e-01      -9.362766151426e-02      -1.080649437851e+02      -1.689836141277e+02      -9.347291469260e-02      -1.548709216553e+02       7.279312860781e-02       7.279312860781e-02 
       1.100579392196e-01      -9.037169199385e-02      -1.135622089715e+02      -1.737654009665e+02      -9.022190087888e-02      -1.596254362406e+02       7.016124570672e-02       7.016124570672e-02 
       1.137955119047e-01      -8.755570085146e-02      -1.208820376336e+02      -1.789839747122e+02      -8.741002168996e-02      -1.650157684640e+02       6.784409246273e-02       6.784409246273e-02 
       1.176469492237e-01      -8.503792487172e-02      -1.295807446379e+02      -1.845916557056e+02      -8.489583619066e-02      -1.709351625452e+02       6.575153489924e-02       6.575153489924e-02 
       1.216176790962e-01      -8.264957631935e-02      -1.389134544723e+02      -1.904715597149e+02      -8.251092921207e-02      -1.771742290733e+02       6.377376143761e-02       6.377376143761e-02 
       1.257131615920e-01      -8.021817876635e-02      -1.479081812037e+02      -1.964448115407e+02      -8.008319447868e-02      -1.834381575941e+02       6.179627774833e-02       6.179627774833e-02 
       1.299388980530e-01      -7.759564645670e-02      -1.555101193863e+02      -2.022945153045e+02      -7.746485273207e-02      -1.893883654639e+02       5.971844275792e-02       5.971844275792e-02 
       1.343004384801e-01      -7.468683275268e-02      -1.607911882902e+02      -2.078064438988e+02      -7.456093975559e-02      -1.947077955716e+02       5.747269861971e-02       5.747269861971e-02 
       1.388033877207e-01      -7.147091682839e-02      -1.631836022703e+02      -2.128192459678e+02      -7.135065057622e-02      -1.991776740340e+02       5.503935768733e-02       5.503935768733e-02 
       1.434534109657e-01      -6.801005525359e-02      -1.626903775462e+02      -2.172741793467e+02      -6.789597728053e-02      -2.027503601699e+02       5.245326618081e-02       5.245326618081e-02 
       1.482562390431e-01      -6.444081205767e-02      -1.600042474561e+02      -2.212507853026e+02      -6.433316330725e-02      -2.055967060211e+02       4.979924242825e-02       4.979924242825e-02 
       1.532176739922e-01      -6.094735506164e-02      -1.564681687156e+02      -2.249736471503e+02      -6.084596371128e-02      -2.081055632083e+02       4.719525942613e-02       4.719525942613e-02 
       1.583435953977e-01      -5.771965065997e-02      -1.538431937542e+02      -2.287836280707e+02      -5.762393160238e-02      -2.108248055049e+02       4.476647940370e-02       4.476647940370e-02 
       1.636399679708e-01      -5.490487007306e-02      -1.538778344693e+02      -2.330564723080e+02      -5.481393278050e-02      -2.143289551130e+02       4.261220834323e-02       4.261220834323e-02 
       1.691128508648e-01      -5.256469180544e-02      -1.577717549385e+02      -2.380935449679e+02      -5.247753707807e-02      -2.190478682320e+02       4.077720120567e-02       4.077720120567e-02 
       1.747684092268e-01      -5.065136756784e-02      -1.656858408047e+02      -2.440080702466e+02      -5.056712609793e-02      -2.250988121353e+02       3.923543928169e-02       3.923543928169e-02 
