# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_dmeff          13:T_dmeff               14:Vrel_dmeff            15:dkappa_dmeff          16:dkappaT_dmeff         17:cdmeff2               18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       1.037541161464e+12       7.022366324044e-22       4.467783583095e-07       2.322268415196e+18       1.415189798835e+04       1.363984246020e-08       1.468317667577e+16       2.579480761555e-07       3.188602720924e+36       2.781563722547e+27       1.242723753305e+14       1.492604432000e+28       2.827818413714e+12       0.000000000000e+00       3.488605519686e+16       4.798738809250e+12       3.123733804767e+03       3.530299370118e-08       2.204327853585e+36       5.392930592217e+36       5.392930592217e+36       1.797643524837e+36      -1.609424641473e+43       5.494961711651e-05       1.973041761270e-01 
       1.026448377037e+12       7.174967302051e-22       4.516077751759e-07       2.272877188826e+18       1.415189798835e+04       1.378724766382e-08       1.452619272215e+16       2.607357101587e-07       3.054411325597e+36       2.693297607964e+27       1.203288957576e+14       1.445240284721e+28       2.797585029987e+12       0.000000000000e+00       3.396106544793e+16       4.671502176123e+12       3.090660031428e+03       3.530299370118e-08       2.111559372742e+36       5.165970715484e+36       5.165970715484e+36       1.721990232780e+36      -1.525209608985e+43       5.506615528993e-05       1.968866153710e-01 
       1.015474190186e+12       7.330884409736e-22       4.564881237457e-07       2.224536441042e+18       1.415189798834e+04       1.393624586927e-08       1.437088714933e+16       2.635534700068e-07       2.925867335153e+36       2.607832402423e+27       1.165105528541e+14       1.399379122693e+28       2.767674883933e+12       0.000000000000e+00       3.306060143077e+16       4.547639171232e+12       3.057916000053e+03       3.530299370118e-08       2.022695025771e+36       4.948562377525e+36       4.948562377525e+36       1.649520786975e+36      -1.445401226871e+43       5.518269346338e-05       1.964708182774e-01 
       1.004617332935e+12       7.490189703162e-22       4.614212230081e-07       2.177223829715e+18       1.415189798834e+04       1.408685429205e-08       1.421724201303e+16       2.664016812652e-07       2.802733080242e+36       2.525079225935e+27       1.128133757142e+14       1.354973252359e+28       2.738084519719e+12       0.000000000000e+00       3.218401285566e+16       4.427060344208e+12       3.025531539045e+03       3.530299370118e-08       1.937570508361e+36       4.740303604677e+36       4.740303604677e+36       1.580101196201e+36      -1.369768911980e+43       5.529923163687e-05       1.960567736930e-01 
       9.938765508637e+11       7.652956816470e-22       4.664070729632e-07       2.130917487896e+18       1.415189798833e+04       1.423909033373e-08       1.406523956083e+16       2.692806730247e-07       2.684780893755e+36       2.444952018896e+27       1.092335194389e+14       1.311976493600e+28       2.708810518386e+12       0.000000000000e+00       3.133066667460e+16       4.309678616361e+12       2.993467656110e+03       3.530299370118e-08       1.856028430899e+36       4.540809340220e+36       4.540809340220e+36       1.513603108218e+36      -1.298094146694e+43       5.541576981039e-05       1.956444705644e-01 
       9.832506029643e+11       7.819260971156e-22       4.714474926004e-07       2.085596013716e+18       1.415189798833e+04       1.439297158390e-08       1.391486223013e+16       2.721907779253e-07       2.571792689888e+36       2.367367452596e+27       1.057672611378e+14       1.270344131711e+28       2.679849497603e+12       0.000000000000e+00       3.049994662507e+16       4.195409217920e+12       2.961753961924e+03       3.530299370118e-08       1.777918027469e+36       4.349710732428e+36       4.349710732428e+36       1.449903572452e+36      -1.230169847589e+43       5.553230798394e-05       1.952338979252e-01 
       9.727382614968e+11       7.989179034921e-22       4.765424819198e-07       2.041238460493e+18       1.415189798832e+04       1.454851582227e-08       1.376609264606e+16       2.751323322084e-07       2.463559560911e+36       2.292244842556e+27       1.024109960575e+14       1.230032870898e+28       2.651198111136e+12       0.000000000000e+00       2.969125278409e+16       4.084169626697e+12       2.930360651487e+03       3.530299370118e-08       1.703094877091e+36       4.166654452595e+36       4.166654452595e+36       1.388884812667e+36      -1.165799767121e+43       5.564884615752e-05       1.948250449058e-01 
       9.623383118476e+11       8.162789537139e-22       4.816938599106e-07       1.997824327048e+18       1.415189798832e+04       1.470574102067e-08       1.361891361953e+16       2.781056757442e-07       2.359881390915e+36       2.219506064621e+27       9.916123383228e+13       1.191000789251e+28       2.622853048573e+12       0.000000000000e+00       2.890400113570e+16       3.975879508584e+12       2.899300740337e+03       3.530299370118e-08       1.631420636699e+36       3.991302041743e+36       3.991302041743e+36       1.330434009205e+36      -1.104797926631e+43       5.576538433114e-05       1.944179007238e-01 
       9.520495523891e+11       8.340172717825e-22       4.868979885941e-07       1.955333548233e+18       1.415189798831e+04       1.486466534519e-08       1.347330814524e+16       2.811111520782e-07       2.260566485807e+36       2.149075473717e+27       9.601459485482e+13       1.153207295153e+28       2.594811034875e+12       0.000000000000e+00       2.813762314875e+16       3.870460659482e+12       2.868567554352e+03       3.530299370118e-08       1.562762785356e+36       3.823329284844e+36       3.823329284844e+36       1.274443090388e+36      -1.046988079010e+43       5.588192250479e-05       1.940124546884e-01 
       9.418707943405e+11       8.521410561583e-22       4.921603249386e-07       1.913746485656e+18       1.415189798831e+04       1.502530715819e-08       1.332925939969e+16       2.841491084692e-07       2.165431218885e+36       2.080879825178e+27       9.296780676135e+13       1.116613085059e+28       2.567068830010e+12       0.000000000000e+00       2.739156536643e+16       3.767836948840e+12       2.838150688252e+03       3.530299370118e-08       1.496994379227e+36       3.662425611359e+36       3.662425611359e+36       1.220808532704e+36      -9.922031994863e+42       5.599846067847e-05       1.936086961985e-01 
       9.318008616311e+11       8.706586829377e-22       4.974790499546e-07       1.873043918604e+18       1.415189798830e+04       1.518768502050e-08       1.318675073923e+16       2.872198959257e-07       2.074299691322e+36       2.014848198581e+27       9.001770102851e+13       1.081180102628e+28       2.539623228617e+12       0.000000000000e+00       2.666528900677e+16       3.667934264697e+12       2.808061638990e+03       3.530299370118e-08       1.433993816872e+36       3.508293521021e+36       3.508293521021e+36       1.169431169398e+36      -9.402850030555e+42       5.611499885219e-05       1.932066147386e-01 
       9.218385907638e+11       8.895787111170e-22       5.028559826314e-07       1.833207035162e+18       1.415189798830e+04       1.535181769355e-08       1.304576569818e+16       2.903238692546e-07       1.987003406941e+36       1.950911923988e+27       8.716120967831e+13       1.046871499144e+28       2.512471059559e+12       0.000000000000e+00       2.595826957317e+16       3.570680460110e+12       2.778276628818e+03       3.530299370118e-08       1.373644614409e+36       3.360648033769e+36       3.360648033769e+36       1.120216007117e+36      -8.910834871618e+42       5.623153702594e-05       1.928061998839e-01 
       9.119828306811e+11       9.089098845117e-22       5.082893039798e-07       1.794217423516e+18       1.415189798829e+04       1.551772414148e-08       1.290628798689e+16       2.934613870907e-07       1.903380960673e+36       1.889004510532e+27       8.439536208751e+13       1.013651595193e+28       2.485609185658e+12       0.000000000000e+00       2.526999647610e+16       3.476005301121e+12       2.748816759950e+03       3.530299370118e-08       1.315835190149e+36       3.219216162847e+36       3.219216162847e+36       1.073072050274e+36      -8.444564983089e+42       5.634807519973e-05       1.924074412914e-01 
       9.022324426318e+11       9.286611383500e-22       5.137826519785e-07       1.756057063442e+18       1.415189798829e+04       1.568542353342e-08       1.276830148986e+16       2.966328119521e-07       1.823277740138e+36       1.829061577274e+27       8.171728189832e+13       9.814858435603e+27       2.459034503215e+12       0.000000000000e+00       2.459997266382e+16       3.383840415955e+12       2.719652107343e+03       3.530299370118e-08       1.260458658281e+36       3.083736410063e+36       3.083736410063e+36       1.027912132806e+36      -8.002693213489e+42       5.646461337356e-05       1.920103287089e-01 
       8.925863000397e+11       9.488416004759e-22       5.193360266276e-07       1.718708317982e+18       1.415189798828e+04       1.585493524563e-08       1.263179026391e+16       2.998385102663e-07       1.746545639769e+36       1.771020786243e+27       7.912418402716e+13       9.503407933042e+27       2.432743941781e+12       0.000000000000e+00       2.394771426403e+16       3.294119245732e+12       2.690806633246e+03       3.530299370118e-08       1.207412631256e+36       2.953958282299e+36       2.953958282299e+36       9.846527570081e+35      -7.583942902624e+42       5.658115154742e-05       1.916148519627e-01 
       8.830432883732e+11       9.694605986923e-22       5.249476089375e-07       1.682153925289e+18       1.415189798828e+04       1.602627886378e-08       1.249673853630e+16       3.030788524293e-07       1.673042786978e+36       1.714821777613e+27       7.661337176820e+13       9.201840549649e+27       2.406734463667e+12       0.000000000000e+00       2.331275023379e+16       3.206776996309e+12       2.662251332641e+03       3.530299370118e-08       1.156599030470e+36       2.829641828365e+36       2.829641828365e+36       9.432139391493e+35      -7.187104193039e+42       5.669768972132e-05       1.912210009686e-01 
       8.736023050166e+11       9.905276620740e-22       5.306210368872e-07       1.646376990651e+18       1.415189798827e+04       1.619947418521e-08       1.236313070293e+16       3.063542128325e-07       1.602633279844e+36       1.660406106929e+27       7.418223398902e+13       8.909842668836e+27       2.381003063718e+12       0.000000000000e+00       2.269462201996e+16       3.121750591573e+12       2.634002468484e+03       3.530299370118e-08       1.107923904932e+36       2.710557195345e+36       2.710557195345e+36       9.035190615917e+35      -6.811030534491e+42       5.681422789526e-05       1.908287657201e-01 
       8.642622591429e+11       1.012052527659e-21       5.363563104765e-07       1.611360978681e+18       1.415189798826e+04       1.637454122118e-08       1.223095132651e+16       3.096649699179e-07       1.535186935835e+36       1.607717184328e+27       7.182824241506e+13       8.627110625867e+27       2.355546768875e+12       0.000000000000e+00       2.209288322757e+16       3.038978627825e+12       2.606049088393e+03       3.530299370118e-08       1.061297257546e+36       2.596484203616e+36       2.596484203616e+36       8.654947311272e+35      -6.454635371324e+42       5.693076606923e-05       1.904381362959e-01 
       8.550220715872e+11       1.034045143862e-21       5.421516107162e-07       1.577089705676e+18       1.415189798826e+04       1.655150019925e-08       1.210018513483e+16       3.130115062162e-07       1.470579051116e+36       1.556700215686e+27       6.954894900038e+13       8.353350392063e+27       2.330362637874e+12       0.000000000000e+00       2.150709929769e+16       2.958401329466e+12       2.578386764108e+03       3.530299370118e-08       1.016632878722e+36       2.487211939748e+36       2.487211939748e+36       8.290706432793e+35      -6.116889003181e+42       5.704730424324e-05       1.900491028548e-01 
